Site,Island,Location,SSTMean,SSTMax,SSTMin,SSTVar,Energy_mean,Period_mean,Height_mean,Energy_std,Period_std,Height_std,Energy_sum,Period_sum,Height_sum,Energy_max,Period_max,Height_max
FFS12,FFS,NWHI,25.210165,27.798016,21.981771,1.347157378,28.17275241,12.19574915,2.082566233,15.50386269,2.095542061,0.483475602,4648.504148,2012.29861,343.6234285,83.80558681,18.83320951,3.37866652
FFS21,FFS,NWHI,25.175671,27.66868,21.87064,1.27001063,32.24418155,12.54659747,2.205065735,15.643796,1.92228235,0.495207483,5062.336503,1969.815803,346.1953203,83.80558681,18.83320951,3.37866652
FFS33,FFS,NWHI,25.186476,27.689472,21.856819,1.284251144,25.81123057,12.95862341,1.99647086,8.682304384,2.158651132,0.363979636,2064.898445,1036.689873,159.7176688,45.93134212,18.83320951,3.073333502
FFS34,FFS,NWHI,25.162621,27.81023,21.733189,1.403127222,22.5254795,11.69908515,1.956705583,8.477865862,2.439979402,0.357920336,3243.669048,1684.668262,281.765604,49.58617401,18.83320951,3.228333235
FFSH6,FFS,NWHI,25.199663,27.689762,22.142084,1.326486713,35.0305746,10.85966154,2.400685147,21.8018133,1.800095051,0.54702,6025.258831,1867.861784,412.9178453,190.3272858,15.42589188,5.700000286
KUR12,KUR,NWHI,23.483547,28.12125,19.973629,2.22377989,26.6011135,10.39333184,2.156661424,21.29094699,2.791917036,0.792405197,3803.959231,1486.246453,308.4025837,148.9080505,18.35016632,5.692499638
KUR2,KUR,NWHI,23.490526,28.015316,19.987034,2.242984173,38.21055542,11.06939486,2.411957637,23.72949622,1.859318207,0.671808218,7412.847752,2147.462602,467.9197816,148.9080505,18.18482208,5.692499638
KUR4,KUR,NWHI,23.431261,27.653961,19.800695,2.220161255,23.48084822,10.26593683,2.00269503,12.49333546,1.873650103,0.448979272,3897.820805,1704.145515,332.447375,58.77836266,18.35016632,3.3974998
KUR6,KUR,NWHI,23.51218,28.219185,20.034885,2.226871348,29.24557962,10.61855614,2.241620892,22.58896221,2.818567994,0.816655221,4152.872306,1507.834973,318.3101667,148.9080505,18.35016632,5.692499638
KURR33,KUR,NWHI,23.542496,28.135551,19.917809,2.240825518,40.93747923,11.40073111,2.522322434,23.42100112,2.449311002,0.701615586,7859.996013,2188.940374,484.2859073,148.9080505,18.35016632,5.692499638
