Site,Island,Location,SSTMean,SSTMax,SSTMin,SSTVar,Energy_mean,Period_mean,Height_mean,Energy_std,Period_std,Height_std,Energy_sum,Period_sum,Height_sum,Energy_max,Period_max,Height_max
LIS09,LIS,NWHI,25.433971,28.791805,20.31517,1.848439342,28.98254799,10.61487926,2.237632334,18.33488236,2.218195929,0.625397652,5013.980802,1836.374112,387.1103938,107.0652771,17.6134758,4.396666527
LIS18,LIS,NWHI,25.441856,28.703321,20.706713,1.824272732,38.48804611,12.61910845,2.377772207,23.00172989,2.237565446,0.680135107,5272.862317,1728.817858,325.7547923,112.3802205,17.6134758,4.388888836
LISR10,LIS,NWHI,25.46537,28.576057,20.505054,1.800631001,33.30484165,12.04773873,2.252062496,21.42901177,2.404774183,0.647740587,5428.68919,1963.781412,367.0861869,112.3802205,17.6134758,4.388888836
LISR14,LIS,NWHI,25.418825,28.771032,20.943916,1.870405838,40.38113572,11.48463212,2.528743493,22.68080395,2.275118262,0.646302126,7591.653515,2159.110839,475.4037766,112.3802205,17.6134758,4.396666527
LISR9,LIS,NWHI,25.428612,28.588978,20.842007,1.836895479,38.45853997,12.35179199,2.419696643,21.55307378,2.23680392,0.63746484,6076.449315,1951.583134,382.3120696,112.3802205,17.6134758,4.388888836
Maui01,MAI,MHI,24.912176,27.238195,22.469183,1.045438664,24.03117158,10.45196347,1.935050024,19.17308067,2.23848004,0.56813644,5214.764233,2268.076074,419.9058553,91.71295242,17.85714149,3.454666567
Maui02,MAI,MHI,24.996769,27.382662,22.61091,1.115696195,24.4223402,10.47686882,1.953141511,19.01814778,2.218203755,0.540907056,5031.002082,2158.234976,402.3471513,91.71295242,15.87568283,3.454666567
Maui07,MAI,MHI,25.651108,28.500269,23.273523,0.969384856,24.30384295,10.54004487,1.945515912,18.86858907,2.262232242,0.543217136,5152.414705,2234.489513,412.4493733,91.71295242,17.85714149,3.454666567
MauiA27,MAI,MHI,25.398727,28.257832,23.164913,0.909,24.30306542,10.49372742,1.945709389,19.01047977,2.205409089,0.549788285,5079.340672,2193.189031,406.6532624,91.71295242,15.87568283,3.454666567
Oahu04,OAH,MHI,25.671131,28.107494,23.067102,1.14875759,27.54809342,10.57506079,2.095631822,16.34315856,2.092781415,0.520733946,7134.956195,2738.940745,542.7686418,94.25922298,16.96442604,3.478333235
Oahu1,OAH,MHI,25.39888,27.852489,22.556665,1.158458458,27.84660964,10.63363892,2.10367828,16.41614247,2.094574521,0.521758566,7017.34563,2679.677007,530.1269266,94.25922298,16.96442604,3.478333235
Oahu10,OAH,MHI,25.419415,27.956654,22.607273,1.166196381,27.39149907,10.54609983,2.090901244,16.33402838,2.087290743,0.519148059,7149.181258,2752.532055,545.7252248,94.25922298,16.96442604,3.478333235
OahuKN,OAH,MHI,25.246662,27.817488,22.558855,1.157745222,27.4958013,10.503567,2.099676043,15.98680962,2.046334183,0.51899029,6571.496511,2510.352512,501.8225744,78.81056252,16.96442604,3.478333235
OahuKbay,OAH,MHI,25.17514,27.904161,22.515818,1.218261056,27.30200917,10.48875032,2.091121334,16.39135583,2.091319862,0.507058591,6907.408319,2653.653832,529.0536974,94.25922298,16.96442604,3.478333235
PHRR26,PHR,NWHI,24.721369,29.284433,19.862726,2.275392054,28.61915085,10.78234105,2.195271444,19.78360106,2.371657687,0.638099337,4464.587533,1682.045205,342.4623452,140.5672696,17.76965714,4.789259275
PHRR33,PHR,NWHI,24.730566,28.622383,19.98987,2.291149275,22.27056603,11.55850153,1.94387365,10.86683788,2.617746012,0.439048637,2137.974339,1109.616147,186.6118704,95.20919037,17.76965714,4.552221775
PHRR39,PHR,NWHI,24.69862,28.715065,20.326893,2.187886423,44.99516377,11.09701903,2.645115575,28.62400004,1.818529633,0.738888849,6479.303583,1597.97074,380.8966428,140.5672696,17.51024755,4.789259275
PHRR42,PHR,NWHI,24.791309,28.307497,20.136633,2.176993799,24.52509185,11.35211915,2.027738461,13.40602653,2.507922355,0.496088262,3359.937583,1555.240324,277.8001691,95.20919037,17.76965714,4.552221775
PHRR44,PHR,NWHI,24.70915,28.53488,20.268204,2.184304924,44.71694684,11.28193589,2.629256502,27.37075735,1.794846376,0.713248104,5768.486143,1455.369729,339.1740888,133.1447906,17.51024755,4.601110935
